Terminal log file
Date: 31.07.2023 - 13:07:38
-----------------------------------------------
13:08:13.734> 
Stepper motor with reduction!!! (1/6)13:08:13.734> 
13:08:13.734> 
Total rotation time 97.5 minutes13:08:14.077> 
Time while sunlit 54.5 minutes13:08:14.077> 
Time in shadow 43 minutes13:08:14.077> 
13:08:14.077> 
Rotation angle 20113:08:14.077> 
Motor step 0.05 degrees13:08:14.077> 
Stepper motor should make 13440 steps13:08:14.077> 
The sunlit side lasts 3270 seconds13:08:14.077> 
One step in 243304 microseconds13:08:14.077> 
Total time of orbit 585013:08:14.077> 
13:08:14.077> 
**********************************13:08:14.077> 
13:08:14.077> 
The current angle is:;  51.06;  Step number is:;  3403;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:22:09.023> 
The current angle is:;  51.68;  Step number is:;  3444;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:22:19.073> 
The current angle is:;  52.29;  Step number is:;  3485;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:22:29.041> 
The current angle is:;  52.90;  Step number is:;  3526;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:22:39.074> 
The current angle is:;  53.52;  Step number is:;  3567;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:22:49.033> 
The current angle is:;  54.13;  Step number is:;  3608;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:22:59.078> 
The current angle is:;  54.75;  Step number is:;  3649;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:23:09.067> 
The current angle is:;  55.36;  Step number is:;  3690;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:23:19.042> 
The current angle is:;  55.98;  Step number is:;  3731;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:23:29.057> 
The current angle is:;  56.59;  Step number is:;  3772;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:23:39.050> 
The current angle is:;  57.21;  Step number is:;  3813;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:23:49.071> 
The current angle is:;  57.82;  Step number is:;  3854;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:23:59.062> 
The current angle is:;  58.44;  Step number is:;  3895;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:24:09.072> 
The current angle is:;  59.06;  Step number is:;  3936;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:24:19.053> 
The current angle is:;  59.67;  Step number is:;  3977;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:24:29.059> 
The current angle is:;  60.29;  Step number is:;  4018;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:24:39.030> 
The current angle is:;  60.90;  Step number is:;  4059;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:24:49.019> 
The current angle is:;  61.52;  Step number is:;  4100;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:24:59.033> 
The current angle is:;  62.13;  Step number is:;  4141;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:25:09.037> 
The current angle is:;  62.75;  Step number is:;  4182;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:25:19.058> 
The current angle is:;  63.36;  Step number is:;  4223;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:25:29.053> 
The current angle is:;  63.97;  Step number is:;  4264;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:25:39.050> 
The current angle is:;  64.59;  Step number is:;  4305;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:25:49.050> 
The current angle is:;  65.20;  Step number is:;  4346;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:25:59.045> 
